player_name,player_id,team,opponent,is_home,game_id,stat,line,market_line,pmf_source,calibration_source,cal_source,role_bucket,role_source,minutes_mean,minutes_q50,p_inactive_used,mean,pmf_mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,p_over,fair_over_odds_american,fair_under_odds_american,snapshot_type,snapshot_time_utc,model_version,pipeline_run_id,pmf_valid,pmf_sum_error,calibration_confidence,market_coverage_status,tov_status,injury_freshness_status,lineup_freshness_status,role_freshness_status,injury_context_source,injury_report_fetched_at_utc,expected_lineup_status,official_lineup_status,lineup_source
Julian Champagnie,38017649,SAS,OKC,True,21713531,pts,5.5,5.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,28.9927,31.5174,0.05,11.8994,11.8994,12,12,0.0032,0.9968,0.9884,0.9705,0.95,0.914,0.88,0.8361,0.7887,0.7172,0.6573,0.5823,0.5144,0.4276,0.3471,0.2864,0.2439,0.1911,0.1424,0.1019,0.0862,0.88,-733.0,733.0,morning,2026-05-24T16:11:10Z,614c522d#phase10c,1c5ae968-9cdb-405c-aafd-dae0d09dcf0f,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T16:10:20Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Julian Champagnie,38017649,SAS,OKC,True,21713531,pts,6.5,6.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,28.9927,31.5174,0.05,11.8994,11.8994,12,12,0.0032,0.9968,0.9884,0.9705,0.95,0.914,0.88,0.8361,0.7887,0.7172,0.6573,0.5823,0.5144,0.4276,0.3471,0.2864,0.2439,0.1911,0.1424,0.1019,0.0862,0.8361,-510.0,510.0,morning,2026-05-24T16:11:10Z,614c522d#phase10c,1c5ae968-9cdb-405c-aafd-dae0d09dcf0f,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T16:10:20Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Julian Champagnie,38017649,SAS,OKC,True,21713531,pts,7.5,7.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,28.9927,31.5174,0.05,11.8994,11.8994,12,12,0.0032,0.9968,0.9884,0.9705,0.95,0.914,0.88,0.8361,0.7887,0.7172,0.6573,0.5823,0.5144,0.4276,0.3471,0.2864,0.2439,0.1911,0.1424,0.1019,0.0862,0.7887,-373.0,373.0,morning,2026-05-24T16:11:10Z,614c522d#phase10c,1c5ae968-9cdb-405c-aafd-dae0d09dcf0f,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T16:10:20Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Julian Champagnie,38017649,SAS,OKC,True,21713531,pts,8.5,8.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,28.9927,31.5174,0.05,11.8994,11.8994,12,12,0.0032,0.9968,0.9884,0.9705,0.95,0.914,0.88,0.8361,0.7887,0.7172,0.6573,0.5823,0.5144,0.4276,0.3471,0.2864,0.2439,0.1911,0.1424,0.1019,0.0862,0.7172,-254.0,254.0,morning,2026-05-24T16:11:10Z,614c522d#phase10c,1c5ae968-9cdb-405c-aafd-dae0d09dcf0f,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T16:10:20Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Julian Champagnie,38017649,SAS,OKC,True,21713531,pts,9.5,9.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,28.9927,31.5174,0.05,11.8994,11.8994,12,12,0.0032,0.9968,0.9884,0.9705,0.95,0.914,0.88,0.8361,0.7887,0.7172,0.6573,0.5823,0.5144,0.4276,0.3471,0.2864,0.2439,0.1911,0.1424,0.1019,0.0862,0.6573,-192.0,192.0,morning,2026-05-24T16:11:10Z,614c522d#phase10c,1c5ae968-9cdb-405c-aafd-dae0d09dcf0f,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T16:10:20Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Julian Champagnie,38017649,SAS,OKC,True,21713531,pts,10.5,10.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,28.9927,31.5174,0.05,11.8994,11.8994,12,12,0.0032,0.9968,0.9884,0.9705,0.95,0.914,0.88,0.8361,0.7887,0.7172,0.6573,0.5823,0.5144,0.4276,0.3471,0.2864,0.2439,0.1911,0.1424,0.1019,0.0862,0.5823,-139.0,139.0,morning,2026-05-24T16:11:10Z,614c522d#phase10c,1c5ae968-9cdb-405c-aafd-dae0d09dcf0f,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T16:10:20Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Julian Champagnie,38017649,SAS,OKC,True,21713531,pts,11.5,11.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,28.9927,31.5174,0.05,11.8994,11.8994,12,12,0.0032,0.9968,0.9884,0.9705,0.95,0.914,0.88,0.8361,0.7887,0.7172,0.6573,0.5823,0.5144,0.4276,0.3471,0.2864,0.2439,0.1911,0.1424,0.1019,0.0862,0.5144,-106.0,106.0,morning,2026-05-24T16:11:10Z,614c522d#phase10c,1c5ae968-9cdb-405c-aafd-dae0d09dcf0f,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T16:10:20Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Julian Champagnie,38017649,SAS,OKC,True,21713531,pts,12.5,12.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,28.9927,31.5174,0.05,11.8994,11.8994,12,12,0.0032,0.9968,0.9884,0.9705,0.95,0.914,0.88,0.8361,0.7887,0.7172,0.6573,0.5823,0.5144,0.4276,0.3471,0.2864,0.2439,0.1911,0.1424,0.1019,0.0862,0.4276,134.0,-134.0,morning,2026-05-24T16:11:10Z,614c522d#phase10c,1c5ae968-9cdb-405c-aafd-dae0d09dcf0f,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T16:10:20Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Julian Champagnie,38017649,SAS,OKC,True,21713531,pts,13.5,13.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,28.9927,31.5174,0.05,11.8994,11.8994,12,12,0.0032,0.9968,0.9884,0.9705,0.95,0.914,0.88,0.8361,0.7887,0.7172,0.6573,0.5823,0.5144,0.4276,0.3471,0.2864,0.2439,0.1911,0.1424,0.1019,0.0862,0.3471,188.0,-188.0,morning,2026-05-24T16:11:10Z,614c522d#phase10c,1c5ae968-9cdb-405c-aafd-dae0d09dcf0f,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T16:10:20Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Julian Champagnie,38017649,SAS,OKC,True,21713531,pts,14.5,14.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,28.9927,31.5174,0.05,11.8994,11.8994,12,12,0.0032,0.9968,0.9884,0.9705,0.95,0.914,0.88,0.8361,0.7887,0.7172,0.6573,0.5823,0.5144,0.4276,0.3471,0.2864,0.2439,0.1911,0.1424,0.1019,0.0862,0.2864,249.0,-249.0,morning,2026-05-24T16:11:10Z,614c522d#phase10c,1c5ae968-9cdb-405c-aafd-dae0d09dcf0f,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T16:10:20Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Julian Champagnie,38017649,SAS,OKC,True,21713531,pts,15.5,15.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,28.9927,31.5174,0.05,11.8994,11.8994,12,12,0.0032,0.9968,0.9884,0.9705,0.95,0.914,0.88,0.8361,0.7887,0.7172,0.6573,0.5823,0.5144,0.4276,0.3471,0.2864,0.2439,0.1911,0.1424,0.1019,0.0862,0.2439,310.0,-310.0,morning,2026-05-24T16:11:10Z,614c522d#phase10c,1c5ae968-9cdb-405c-aafd-dae0d09dcf0f,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T16:10:20Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Julian Champagnie,38017649,SAS,OKC,True,21713531,pts,16.5,16.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,28.9927,31.5174,0.05,11.8994,11.8994,12,12,0.0032,0.9968,0.9884,0.9705,0.95,0.914,0.88,0.8361,0.7887,0.7172,0.6573,0.5823,0.5144,0.4276,0.3471,0.2864,0.2439,0.1911,0.1424,0.1019,0.0862,0.1911,423.0,-423.0,morning,2026-05-24T16:11:10Z,614c522d#phase10c,1c5ae968-9cdb-405c-aafd-dae0d09dcf0f,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T16:10:20Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Julian Champagnie,38017649,SAS,OKC,True,21713531,pts,17.5,17.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,28.9927,31.5174,0.05,11.8994,11.8994,12,12,0.0032,0.9968,0.9884,0.9705,0.95,0.914,0.88,0.8361,0.7887,0.7172,0.6573,0.5823,0.5144,0.4276,0.3471,0.2864,0.2439,0.1911,0.1424,0.1019,0.0862,0.1424,602.0,-602.0,morning,2026-05-24T16:11:10Z,614c522d#phase10c,1c5ae968-9cdb-405c-aafd-dae0d09dcf0f,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T16:10:20Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Julian Champagnie,38017649,SAS,OKC,True,21713531,pts,18.5,18.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,28.9927,31.5174,0.05,11.8994,11.8994,12,12,0.0032,0.9968,0.9884,0.9705,0.95,0.914,0.88,0.8361,0.7887,0.7172,0.6573,0.5823,0.5144,0.4276,0.3471,0.2864,0.2439,0.1911,0.1424,0.1019,0.0862,0.1019,882.0,-882.0,morning,2026-05-24T16:11:10Z,614c522d#phase10c,1c5ae968-9cdb-405c-aafd-dae0d09dcf0f,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T16:10:20Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Julian Champagnie,38017649,SAS,OKC,True,21713531,pts,19.5,19.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,28.9927,31.5174,0.05,11.8994,11.8994,12,12,0.0032,0.9968,0.9884,0.9705,0.95,0.914,0.88,0.8361,0.7887,0.7172,0.6573,0.5823,0.5144,0.4276,0.3471,0.2864,0.2439,0.1911,0.1424,0.1019,0.0862,0.0862,1060.0,-1060.0,morning,2026-05-24T16:11:10Z,614c522d#phase10c,1c5ae968-9cdb-405c-aafd-dae0d09dcf0f,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T16:10:20Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Julian Champagnie,38017649,SAS,OKC,True,21713531,pts,20.5,20.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,28.9927,31.5174,0.05,11.8994,11.8994,12,12,0.0032,0.9968,0.9884,0.9705,0.95,0.914,0.88,0.8361,0.7887,0.7172,0.6573,0.5823,0.5144,0.4276,0.3471,0.2864,0.2439,0.1911,0.1424,0.1019,0.0862,0.0712,1305.0,-1305.0,morning,2026-05-24T16:11:10Z,614c522d#phase10c,1c5ae968-9cdb-405c-aafd-dae0d09dcf0f,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T16:10:20Z,projected,not_available_yet,bdl_lineup_freshness_manifest
Julian Champagnie,38017649,SAS,OKC,True,21713531,pts,21.5,21.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,28.9927,31.5174,0.05,11.8994,11.8994,12,12,0.0032,0.9968,0.9884,0.9705,0.95,0.914,0.88,0.8361,0.7887,0.7172,0.6573,0.5823,0.5144,0.4276,0.3471,0.2864,0.2439,0.1911,0.1424,0.1019,0.0862,0.0508,1867.0,-1867.0,morning,2026-05-24T16:11:10Z,614c522d#phase10c,1c5ae968-9cdb-405c-aafd-dae0d09dcf0f,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-24T16:10:20Z,projected,not_available_yet,bdl_lineup_freshness_manifest
