player_name,player_id,team,opponent,is_home,game_id,game_start_time,stat,line,book,market_over_odds,market_under_odds,market_no_vig_over_prob,pmf_source,calibration_source,cal_source,role_bucket,role_source,minutes_mean,minutes_q50,p_inactive_used,mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,model_p_over,fair_over_odds_american,fair_under_odds_american,edge,snapshot_type,snapshot_time_utc,model_version,pipeline_run_id,pmf_valid,pmf_sum_error,calibration_confidence,market_coverage_status,tov_status,injury_freshness_status,lineup_freshness_status,role_freshness_status
Jarrett Allen,9,CLE,DET,False,21709219,,pts,30.5,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.479243,28.513151,0.0,12.124143,12,12,0.010818565437,0.989181434563,0.982934082433,0.971186666542,0.945282322709,0.916212074132,0.880275986952,0.838270165037,0.790338086366,0.722711359064,0.65919614784,0.58860751448,0.515943762294,0.439788371344,0.373441630084,0.316787406646,0.261596722782,0.219806866778,0.173584230457,0.133943635425,0.102810946293,0.00281210931,35460.0,-35460.0,,after_game,2026-05-14T04:27:32Z,5c9c8e3a#phase10c,e7ee70bc-8376-4441-8d11-526bc00008f2,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
Jarrett Allen,9,CLE,DET,False,21709219,,pts,31.5,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.479243,28.513151,0.0,12.124143,12,12,0.010818565437,0.989181434563,0.982934082433,0.971186666542,0.945282322709,0.916212074132,0.880275986952,0.838270165037,0.790338086366,0.722711359064,0.65919614784,0.58860751448,0.515943762294,0.439788371344,0.373441630084,0.316787406646,0.261596722782,0.219806866778,0.173584230457,0.133943635425,0.102810946293,0.001513752411,65961.0,-65961.0,,after_game,2026-05-14T04:27:32Z,5c9c8e3a#phase10c,e7ee70bc-8376-4441-8d11-526bc00008f2,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
Jarrett Allen,9,CLE,DET,False,21709219,,pts,32.5,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.479243,28.513151,0.0,12.124143,12,12,0.010818565437,0.989181434563,0.982934082433,0.971186666542,0.945282322709,0.916212074132,0.880275986952,0.838270165037,0.790338086366,0.722711359064,0.65919614784,0.58860751448,0.515943762294,0.439788371344,0.373441630084,0.316787406646,0.261596722782,0.219806866778,0.173584230457,0.133943635425,0.102810946293,0.00139222565,71727.0,-71727.0,,after_game,2026-05-14T04:27:32Z,5c9c8e3a#phase10c,e7ee70bc-8376-4441-8d11-526bc00008f2,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
Jarrett Allen,9,CLE,DET,False,21709219,,pts,33.5,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.479243,28.513151,0.0,12.124143,12,12,0.010818565437,0.989181434563,0.982934082433,0.971186666542,0.945282322709,0.916212074132,0.880275986952,0.838270165037,0.790338086366,0.722711359064,0.65919614784,0.58860751448,0.515943762294,0.439788371344,0.373441630084,0.316787406646,0.261596722782,0.219806866778,0.173584230457,0.133943635425,0.102810946293,0.00101479621,98442.0,-98442.0,,after_game,2026-05-14T04:27:32Z,5c9c8e3a#phase10c,e7ee70bc-8376-4441-8d11-526bc00008f2,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
Jarrett Allen,9,CLE,DET,False,21709219,,pts,34.5,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.479243,28.513151,0.0,12.124143,12,12,0.010818565437,0.989181434563,0.982934082433,0.971186666542,0.945282322709,0.916212074132,0.880275986952,0.838270165037,0.790338086366,0.722711359064,0.65919614784,0.58860751448,0.515943762294,0.439788371344,0.373441630084,0.316787406646,0.261596722782,0.219806866778,0.173584230457,0.133943635425,0.102810946293,0.00090929488,109875.0,-109875.0,,after_game,2026-05-14T04:27:32Z,5c9c8e3a#phase10c,e7ee70bc-8376-4441-8d11-526bc00008f2,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
Jarrett Allen,9,CLE,DET,False,21709219,,pts,35.5,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.479243,28.513151,0.0,12.124143,12,12,0.010818565437,0.989181434563,0.982934082433,0.971186666542,0.945282322709,0.916212074132,0.880275986952,0.838270165037,0.790338086366,0.722711359064,0.65919614784,0.58860751448,0.515943762294,0.439788371344,0.373441630084,0.316787406646,0.261596722782,0.219806866778,0.173584230457,0.133943635425,0.102810946293,0.000854073116,116986.0,-116986.0,,after_game,2026-05-14T04:27:32Z,5c9c8e3a#phase10c,e7ee70bc-8376-4441-8d11-526bc00008f2,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
Jarrett Allen,9,CLE,DET,False,21709219,,pts,36.5,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.479243,28.513151,0.0,12.124143,12,12,0.010818565437,0.989181434563,0.982934082433,0.971186666542,0.945282322709,0.916212074132,0.880275986952,0.838270165037,0.790338086366,0.722711359064,0.65919614784,0.58860751448,0.515943762294,0.439788371344,0.373441630084,0.316787406646,0.261596722782,0.219806866778,0.173584230457,0.133943635425,0.102810946293,0.000787629243,126863.0,-126863.0,,after_game,2026-05-14T04:27:32Z,5c9c8e3a#phase10c,e7ee70bc-8376-4441-8d11-526bc00008f2,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
Jarrett Allen,9,CLE,DET,False,21709219,,pts,37.5,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.479243,28.513151,0.0,12.124143,12,12,0.010818565437,0.989181434563,0.982934082433,0.971186666542,0.945282322709,0.916212074132,0.880275986952,0.838270165037,0.790338086366,0.722711359064,0.65919614784,0.58860751448,0.515943762294,0.439788371344,0.373441630084,0.316787406646,0.261596722782,0.219806866778,0.173584230457,0.133943635425,0.102810946293,0.000566441928,176441.0,-176441.0,,after_game,2026-05-14T04:27:32Z,5c9c8e3a#phase10c,e7ee70bc-8376-4441-8d11-526bc00008f2,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
Jarrett Allen,9,CLE,DET,False,21709219,,pts,38.5,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.479243,28.513151,0.0,12.124143,12,12,0.010818565437,0.989181434563,0.982934082433,0.971186666542,0.945282322709,0.916212074132,0.880275986952,0.838270165037,0.790338086366,0.722711359064,0.65919614784,0.58860751448,0.515943762294,0.439788371344,0.373441630084,0.316787406646,0.261596722782,0.219806866778,0.173584230457,0.133943635425,0.102810946293,0.000519855631,192261.0,-192261.0,,after_game,2026-05-14T04:27:32Z,5c9c8e3a#phase10c,e7ee70bc-8376-4441-8d11-526bc00008f2,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
Jarrett Allen,9,CLE,DET,False,21709219,,pts,39.5,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.479243,28.513151,0.0,12.124143,12,12,0.010818565437,0.989181434563,0.982934082433,0.971186666542,0.945282322709,0.916212074132,0.880275986952,0.838270165037,0.790338086366,0.722711359064,0.65919614784,0.58860751448,0.515943762294,0.439788371344,0.373441630084,0.316787406646,0.261596722782,0.219806866778,0.173584230457,0.133943635425,0.102810946293,0.000501180504,199429.0,-199429.0,,after_game,2026-05-14T04:27:32Z,5c9c8e3a#phase10c,e7ee70bc-8376-4441-8d11-526bc00008f2,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
Jarrett Allen,9,CLE,DET,False,21709219,,pts,40.5,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.479243,28.513151,0.0,12.124143,12,12,0.010818565437,0.989181434563,0.982934082433,0.971186666542,0.945282322709,0.916212074132,0.880275986952,0.838270165037,0.790338086366,0.722711359064,0.65919614784,0.58860751448,0.515943762294,0.439788371344,0.373441630084,0.316787406646,0.261596722782,0.219806866778,0.173584230457,0.133943635425,0.102810946293,0.000464413914,215225.0,-215225.0,,after_game,2026-05-14T04:27:32Z,5c9c8e3a#phase10c,e7ee70bc-8376-4441-8d11-526bc00008f2,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
Jarrett Allen,9,CLE,DET,False,21709219,,pts,41.5,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.479243,28.513151,0.0,12.124143,12,12,0.010818565437,0.989181434563,0.982934082433,0.971186666542,0.945282322709,0.916212074132,0.880275986952,0.838270165037,0.790338086366,0.722711359064,0.65919614784,0.58860751448,0.515943762294,0.439788371344,0.373441630084,0.316787406646,0.261596722782,0.219806866778,0.173584230457,0.133943635425,0.102810946293,0.000417572106,239380.0,-239380.0,,after_game,2026-05-14T04:27:32Z,5c9c8e3a#phase10c,e7ee70bc-8376-4441-8d11-526bc00008f2,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
Jarrett Allen,9,CLE,DET,False,21709219,,pts,42.5,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.479243,28.513151,0.0,12.124143,12,12,0.010818565437,0.989181434563,0.982934082433,0.971186666542,0.945282322709,0.916212074132,0.880275986952,0.838270165037,0.790338086366,0.722711359064,0.65919614784,0.58860751448,0.515943762294,0.439788371344,0.373441630084,0.316787406646,0.261596722782,0.219806866778,0.173584230457,0.133943635425,0.102810946293,0.000380428104,262762.0,-262762.0,,after_game,2026-05-14T04:27:32Z,5c9c8e3a#phase10c,e7ee70bc-8376-4441-8d11-526bc00008f2,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
Jarrett Allen,9,CLE,DET,False,21709219,,pts,43.5,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.479243,28.513151,0.0,12.124143,12,12,0.010818565437,0.989181434563,0.982934082433,0.971186666542,0.945282322709,0.916212074132,0.880275986952,0.838270165037,0.790338086366,0.722711359064,0.65919614784,0.58860751448,0.515943762294,0.439788371344,0.373441630084,0.316787406646,0.261596722782,0.219806866778,0.173584230457,0.133943635425,0.102810946293,0.000244160543,409467.0,-409467.0,,after_game,2026-05-14T04:27:32Z,5c9c8e3a#phase10c,e7ee70bc-8376-4441-8d11-526bc00008f2,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
Jarrett Allen,9,CLE,DET,False,21709219,,pts,44.5,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.479243,28.513151,0.0,12.124143,12,12,0.010818565437,0.989181434563,0.982934082433,0.971186666542,0.945282322709,0.916212074132,0.880275986952,0.838270165037,0.790338086366,0.722711359064,0.65919614784,0.58860751448,0.515943762294,0.439788371344,0.373441630084,0.316787406646,0.261596722782,0.219806866778,0.173584230457,0.133943635425,0.102810946293,0.0,,,,after_game,2026-05-14T04:27:32Z,5c9c8e3a#phase10c,e7ee70bc-8376-4441-8d11-526bc00008f2,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
Jarrett Allen,9,CLE,DET,False,21709219,,pts,45.5,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.479243,28.513151,0.0,12.124143,12,12,0.010818565437,0.989181434563,0.982934082433,0.971186666542,0.945282322709,0.916212074132,0.880275986952,0.838270165037,0.790338086366,0.722711359064,0.65919614784,0.58860751448,0.515943762294,0.439788371344,0.373441630084,0.316787406646,0.261596722782,0.219806866778,0.173584230457,0.133943635425,0.102810946293,0.0,,,,after_game,2026-05-14T04:27:32Z,5c9c8e3a#phase10c,e7ee70bc-8376-4441-8d11-526bc00008f2,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
Jarrett Allen,9,CLE,DET,False,21709219,,pts,46.5,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.479243,28.513151,0.0,12.124143,12,12,0.010818565437,0.989181434563,0.982934082433,0.971186666542,0.945282322709,0.916212074132,0.880275986952,0.838270165037,0.790338086366,0.722711359064,0.65919614784,0.58860751448,0.515943762294,0.439788371344,0.373441630084,0.316787406646,0.261596722782,0.219806866778,0.173584230457,0.133943635425,0.102810946293,0.0,,,,after_game,2026-05-14T04:27:32Z,5c9c8e3a#phase10c,e7ee70bc-8376-4441-8d11-526bc00008f2,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
Jarrett Allen,9,CLE,DET,False,21709219,,pts,47.5,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.479243,28.513151,0.0,12.124143,12,12,0.010818565437,0.989181434563,0.982934082433,0.971186666542,0.945282322709,0.916212074132,0.880275986952,0.838270165037,0.790338086366,0.722711359064,0.65919614784,0.58860751448,0.515943762294,0.439788371344,0.373441630084,0.316787406646,0.261596722782,0.219806866778,0.173584230457,0.133943635425,0.102810946293,0.0,,,,after_game,2026-05-14T04:27:32Z,5c9c8e3a#phase10c,e7ee70bc-8376-4441-8d11-526bc00008f2,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
Jarrett Allen,9,CLE,DET,False,21709219,,pts,48.5,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.479243,28.513151,0.0,12.124143,12,12,0.010818565437,0.989181434563,0.982934082433,0.971186666542,0.945282322709,0.916212074132,0.880275986952,0.838270165037,0.790338086366,0.722711359064,0.65919614784,0.58860751448,0.515943762294,0.439788371344,0.373441630084,0.316787406646,0.261596722782,0.219806866778,0.173584230457,0.133943635425,0.102810946293,0.0,,,,after_game,2026-05-14T04:27:32Z,5c9c8e3a#phase10c,e7ee70bc-8376-4441-8d11-526bc00008f2,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
Jarrett Allen,9,CLE,DET,False,21709219,,pts,49.5,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.479243,28.513151,0.0,12.124143,12,12,0.010818565437,0.989181434563,0.982934082433,0.971186666542,0.945282322709,0.916212074132,0.880275986952,0.838270165037,0.790338086366,0.722711359064,0.65919614784,0.58860751448,0.515943762294,0.439788371344,0.373441630084,0.316787406646,0.261596722782,0.219806866778,0.173584230457,0.133943635425,0.102810946293,0.0,,,,after_game,2026-05-14T04:27:32Z,5c9c8e3a#phase10c,e7ee70bc-8376-4441-8d11-526bc00008f2,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
Jarrett Allen,9,CLE,DET,False,21709219,,pts,50.5,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.479243,28.513151,0.0,12.124143,12,12,0.010818565437,0.989181434563,0.982934082433,0.971186666542,0.945282322709,0.916212074132,0.880275986952,0.838270165037,0.790338086366,0.722711359064,0.65919614784,0.58860751448,0.515943762294,0.439788371344,0.373441630084,0.316787406646,0.261596722782,0.219806866778,0.173584230457,0.133943635425,0.102810946293,0.0,,,,after_game,2026-05-14T04:27:32Z,5c9c8e3a#phase10c,e7ee70bc-8376-4441-8d11-526bc00008f2,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
Jarrett Allen,9,CLE,DET,False,21709219,,pts,51.5,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.479243,28.513151,0.0,12.124143,12,12,0.010818565437,0.989181434563,0.982934082433,0.971186666542,0.945282322709,0.916212074132,0.880275986952,0.838270165037,0.790338086366,0.722711359064,0.65919614784,0.58860751448,0.515943762294,0.439788371344,0.373441630084,0.316787406646,0.261596722782,0.219806866778,0.173584230457,0.133943635425,0.102810946293,0.0,,,,after_game,2026-05-14T04:27:32Z,5c9c8e3a#phase10c,e7ee70bc-8376-4441-8d11-526bc00008f2,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
Jarrett Allen,9,CLE,DET,False,21709219,,pts,52.5,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.479243,28.513151,0.0,12.124143,12,12,0.010818565437,0.989181434563,0.982934082433,0.971186666542,0.945282322709,0.916212074132,0.880275986952,0.838270165037,0.790338086366,0.722711359064,0.65919614784,0.58860751448,0.515943762294,0.439788371344,0.373441630084,0.316787406646,0.261596722782,0.219806866778,0.173584230457,0.133943635425,0.102810946293,0.0,,,,after_game,2026-05-14T04:27:32Z,5c9c8e3a#phase10c,e7ee70bc-8376-4441-8d11-526bc00008f2,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
Jarrett Allen,9,CLE,DET,False,21709219,,pts,53.5,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.479243,28.513151,0.0,12.124143,12,12,0.010818565437,0.989181434563,0.982934082433,0.971186666542,0.945282322709,0.916212074132,0.880275986952,0.838270165037,0.790338086366,0.722711359064,0.65919614784,0.58860751448,0.515943762294,0.439788371344,0.373441630084,0.316787406646,0.261596722782,0.219806866778,0.173584230457,0.133943635425,0.102810946293,0.0,,,,after_game,2026-05-14T04:27:32Z,5c9c8e3a#phase10c,e7ee70bc-8376-4441-8d11-526bc00008f2,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
Jarrett Allen,9,CLE,DET,False,21709219,,pts,54.5,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.479243,28.513151,0.0,12.124143,12,12,0.010818565437,0.989181434563,0.982934082433,0.971186666542,0.945282322709,0.916212074132,0.880275986952,0.838270165037,0.790338086366,0.722711359064,0.65919614784,0.58860751448,0.515943762294,0.439788371344,0.373441630084,0.316787406646,0.261596722782,0.219806866778,0.173584230457,0.133943635425,0.102810946293,0.0,,,,after_game,2026-05-14T04:27:32Z,5c9c8e3a#phase10c,e7ee70bc-8376-4441-8d11-526bc00008f2,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
Jarrett Allen,9,CLE,DET,False,21709219,,pts,55.5,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.479243,28.513151,0.0,12.124143,12,12,0.010818565437,0.989181434563,0.982934082433,0.971186666542,0.945282322709,0.916212074132,0.880275986952,0.838270165037,0.790338086366,0.722711359064,0.65919614784,0.58860751448,0.515943762294,0.439788371344,0.373441630084,0.316787406646,0.261596722782,0.219806866778,0.173584230457,0.133943635425,0.102810946293,0.0,,,,after_game,2026-05-14T04:27:32Z,5c9c8e3a#phase10c,e7ee70bc-8376-4441-8d11-526bc00008f2,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
Jarrett Allen,9,CLE,DET,False,21709219,,pts,56.5,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:core+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,core,derived_from_projected_minutes,27.479243,28.513151,0.0,12.124143,12,12,0.010818565437,0.989181434563,0.982934082433,0.971186666542,0.945282322709,0.916212074132,0.880275986952,0.838270165037,0.790338086366,0.722711359064,0.65919614784,0.58860751448,0.515943762294,0.439788371344,0.373441630084,0.316787406646,0.261596722782,0.219806866778,0.173584230457,0.133943635425,0.102810946293,0.0,,,,after_game,2026-05-14T04:27:32Z,5c9c8e3a#phase10c,e7ee70bc-8376-4441-8d11-526bc00008f2,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
